gene_id,pathway_id
51726,R-HSA-2262752
51726,R-HSA-381038
51726,R-HSA-381070
51726,R-HSA-381119
51726,R-HSA-8953897
55288,R-HSA-162582
55288,R-HSA-392499
55288,R-HSA-5688426
55288,R-HSA-5689880
55288,R-HSA-597592
55288,R-HSA-9013425
55288,R-HSA-9715370
55288,R-HSA-9716542
5553,R-HSA-168249
5553,R-HSA-168256
5553,R-HSA-6798695
55750,R-HSA-1430728
55750,R-HSA-1483206
55750,R-HSA-1483257
55750,R-HSA-1643685
55750,R-HSA-556833
55750,R-HSA-5663202
55750,R-HSA-6802952
55750,R-HSA-6802957
56886,R-HSA-392499
56886,R-HSA-446203
56886,R-HSA-532668
56886,R-HSA-597592
56886,R-HSA-901032
56886,R-HSA-901042
56975,R-HSA-381426
56975,R-HSA-392499
56975,R-HSA-597592
56975,R-HSA-8957275
5727,R-HSA-162582
5727,R-HSA-372790
5727,R-HSA-373080
5727,R-HSA-500792
5727,R-HSA-5358351
5727,R-HSA-5610787
5727,R-HSA-5632681
5727,R-HSA-5632684
5727,R-HSA-5635838
5954,R-HSA-381426
5954,R-HSA-392499
5954,R-HSA-597592
5954,R-HSA-8957275
6158,R-HSA-1266738
6158,R-HSA-1430728
6158,R-HSA-156827
6158,R-HSA-156842
6158,R-HSA-156902
6158,R-HSA-1643685
6158,R-HSA-168255
6158,R-HSA-168273
6158,R-HSA-1799339
6158,R-HSA-192823
6158,R-HSA-2262752
6158,R-HSA-2408522
6158,R-HSA-2408557
6158,R-HSA-376176
6158,R-HSA-392499
6158,R-HSA-422475
6158,R-HSA-5663205
6158,R-HSA-6791226
6158,R-HSA-71291
6158,R-HSA-72312
6158,R-HSA-72613
6158,R-HSA-72689
6158,R-HSA-72706
6158,R-HSA-72737
6158,R-HSA-72764
6158,R-HSA-72766
6158,R-HSA-8868773
6158,R-HSA-8953854
6158,R-HSA-8953897
6158,R-HSA-9010553
6158,R-HSA-927802
6158,R-HSA-9633012
6158,R-HSA-9675108
6158,R-HSA-9711097
6158,R-HSA-975956
6158,R-HSA-975957
6158,R-HSA-9824446
64174,R-HSA-1430728
64174,R-HSA-1643685
64174,R-HSA-211859
64174,R-HSA-2142691
64174,R-HSA-2142753
64174,R-HSA-5423646
64174,R-HSA-556833
64174,R-HSA-5663205
64174,R-HSA-8978868
64174,R-HSA-9658195
64174,R-HSA-9662851
64174,R-HSA-9664433
64174,R-HSA-9664535
64174,R-HSA-9824443
6576,R-HSA-382551
6576,R-HSA-425393
6576,R-HSA-425407
6576,R-HSA-428643
6901,R-HSA-1268020
6901,R-HSA-1430728
6901,R-HSA-1482798
6901,R-HSA-1483206
6901,R-HSA-1483257
6901,R-HSA-556833
6901,R-HSA-9609507
6997,R-HSA-1181150
6997,R-HSA-1266738
6997,R-HSA-1433617
6997,R-HSA-2892247
6997,R-HSA-452723
713,R-HSA-166658
713,R-HSA-166663
713,R-HSA-166786
713,R-HSA-168249
713,R-HSA-168256
713,R-HSA-173623
713,R-HSA-977606
7186,R-HSA-109581
7186,R-HSA-1280215
7186,R-HSA-140534
7186,R-HSA-162582
7186,R-HSA-1643685
7186,R-HSA-166016
7186,R-HSA-166058
7186,R-HSA-166166
7186,R-HSA-168138
7186,R-HSA-168142
7186,R-HSA-168164
7186,R-HSA-168176
7186,R-HSA-168179
7186,R-HSA-168181
7186,R-HSA-168188
7186,R-HSA-168249
7186,R-HSA-168256
7186,R-HSA-168898
7186,R-HSA-168928
7186,R-HSA-181438
7186,R-HSA-3371378
7186,R-HSA-392499
7186,R-HSA-445989
7186,R-HSA-446652
7186,R-HSA-449147
7186,R-HSA-5213460
7186,R-HSA-5218859
7186,R-HSA-5218900
7186,R-HSA-5357769
7186,R-HSA-5357786
7186,R-HSA-5357801
7186,R-HSA-5357905
7186,R-HSA-5357956
7186,R-HSA-5668541
7186,R-HSA-5675482
7186,R-HSA-5676594
7186,R-HSA-5688426
7186,R-HSA-5689880
7186,R-HSA-597592
7186,R-HSA-69416
7186,R-HSA-73887
7186,R-HSA-75893
7186,R-HSA-9020702
7186,R-HSA-933541
7186,R-HSA-933542
7186,R-HSA-937061
7186,R-HSA-9645723
7186,R-HSA-9693928
7186,R-HSA-975138
7186,R-HSA-975155
7186,R-HSA-9758274
7186,R-HSA-975871
765,R-HSA-1430728
765,R-HSA-1475029
7706,R-HSA-110313
7706,R-HSA-1169408
7706,R-HSA-1169410
7706,R-HSA-1280215
7706,R-HSA-1643685
7706,R-HSA-168249
7706,R-HSA-168256
7706,R-HSA-168928
7706,R-HSA-392499
7706,R-HSA-5656169
7706,R-HSA-5663205
7706,R-HSA-5688426
7706,R-HSA-5689896
7706,R-HSA-597592
7706,R-HSA-73893
7706,R-HSA-73894
7706,R-HSA-877300
7706,R-HSA-913531
7706,R-HSA-918233
7706,R-HSA-933541
7706,R-HSA-933542
7706,R-HSA-933543
7706,R-HSA-936440
7706,R-HSA-9678108
7706,R-HSA-9679506
7706,R-HSA-9692914
7706,R-HSA-9692916
7706,R-HSA-9694516
7706,R-HSA-9705671
7706,R-HSA-9705683
7706,R-HSA-9820952
7706,R-HSA-9824446
7706,R-HSA-9833109
7706,R-HSA-9833110
7706,R-HSA-9833482
7706,R-HSA-9909505
79600,R-HSA-1852241
79600,R-HSA-5617833
79600,R-HSA-5620912
8000,R-HSA-163125
8000,R-HSA-392499
8000,R-HSA-597592
83729,R-HSA-209822
83729,R-HSA-209952
83729,R-HSA-2980736
83729,R-HSA-392499
84617,R-HSA-1640170
84617,R-HSA-2555396
84617,R-HSA-2995410
84617,R-HSA-389957
84617,R-HSA-389958
84617,R-HSA-389960
84617,R-HSA-389977
84617,R-HSA-390466
84617,R-HSA-391251
84617,R-HSA-392499
84617,R-HSA-597592
84617,R-HSA-68882
84617,R-HSA-68886
84617,R-HSA-69278
84617,R-HSA-8955332
84617,R-HSA-9668328
8547,R-HSA-166658
8547,R-HSA-166662
8547,R-HSA-166663
8547,R-HSA-166786
8547,R-HSA-168249
8547,R-HSA-168256
8547,R-HSA-2855086
8604,R-HSA-1268020
8604,R-HSA-1428517
8604,R-HSA-1430728
8604,R-HSA-611105
8604,R-HSA-71291
8604,R-HSA-8963693
8604,R-HSA-9609507
8604,R-HSA-9856872
8836,R-HSA-168249
8836,R-HSA-168256
8836,R-HSA-6798695
90701,R-HSA-1643685
90701,R-HSA-1799339
90701,R-HSA-2980736
90701,R-HSA-381771
90701,R-HSA-392499
90701,R-HSA-400508
90701,R-HSA-400511
90701,R-HSA-422085
90701,R-HSA-5663205
90701,R-HSA-72766
90701,R-HSA-9820952
90701,R-HSA-9820965
90701,R-HSA-9824446
90701,R-HSA-9828806
9450,R-HSA-166016
9450,R-HSA-168249
9450,R-HSA-168256
9450,R-HSA-168898
9507,R-HSA-1474228
