geneA_id,geneA_symbol,geneB_id,geneB_symbol
10482,NXF1,374618,TEX9
10482,NXF1,3837,KPNB1
10482,NXF1,3842,TNPO1
10482,NXF1,4116,MAGOH
10482,NXF1,440295,GOLGA6L9
10482,NXF1,4833,NME4
10482,NXF1,4928,NUP98
10482,NXF1,50511,SYCP3
10482,NXF1,51149,MRNIP
10482,NXF1,51160,VPS28
10482,NXF1,51194,IPO11
10482,NXF1,51295,ECSIT
10482,NXF1,54442,KCTD5
10482,NXF1,54676,GTPBP2
10482,NXF1,54776,PPP1R12C
10482,NXF1,55197,RPRD1A
10482,NXF1,55216,NKAPD1
10482,NXF1,5575,PRKAR1B
10482,NXF1,55909,BIN3
10482,NXF1,5630,PRPH
10482,NXF1,56893,UBQLN4
10482,NXF1,56904,SH3GLB2
10482,NXF1,57533,TBC1D14
10482,NXF1,58500,ZNF250
10482,NXF1,5888,RAD51
10482,NXF1,5901,RAN
10482,NXF1,5903,RANBP2
10482,NXF1,60468,BACH2
10482,NXF1,642,BLMH
10482,NXF1,6426,SRSF1
10482,NXF1,6428,SRSF3
10482,NXF1,6429,SRSF4
10482,NXF1,6432,SRSF7
10482,NXF1,643376,BTBD18
10482,NXF1,6434,TRA2B
10482,NXF1,6449,SGTA
10482,NXF1,64783,RBM15
10482,NXF1,65056,GPBP1
10482,NXF1,7126,TNFAIP1
10482,NXF1,7159,TP53BP2
10482,NXF1,7307,U2AF1
10482,NXF1,79000,AUNIP
10482,NXF1,79068,FTO
10482,NXF1,79175,ZNF343
10482,NXF1,79413,ZBED2
10482,NXF1,79741,CCDC7
10482,NXF1,79768,KATNBL1
10482,NXF1,79869,CPSF7
10482,NXF1,8021,NUP214
10482,NXF1,80742,PRR3
10482,NXF1,818,CAMK2G
10482,NXF1,8220,ESS2
10482,NXF1,84221,SPATC1L
10482,NXF1,8480,RAE1
10482,NXF1,85509,MBD3L1
10482,NXF1,8563,THOC5
10482,NXF1,8678,BECN1
10482,NXF1,90060,CCDC120
10482,NXF1,92610,TIFA
10482,NXF1,9939,RBM8A
10482,NXF1,9972,NUP153
10618,TGOLN2,1173,AP2M1
10618,TGOLN2,26985,AP3M1
10618,TGOLN2,386676,KRTAP10-9
10618,TGOLN2,8907,AP1M1
10857,PGRMC1,10424,PGRMC2
10857,PGRMC1,147872,KASH5
10857,PGRMC1,2124,EVI2B
10857,PGRMC1,2235,FECH
10857,PGRMC1,23630,KCNE5
10857,PGRMC1,245937,DEFB124
10857,PGRMC1,3638,INSIG1
10857,PGRMC1,439,GET3
10857,PGRMC1,4543,MTNR1A
10857,PGRMC1,51280,GOLM1
10857,PGRMC1,54557,SGTB
10857,PGRMC1,58491,ZNF71
10857,PGRMC1,638,BIK
10857,PGRMC1,79879,CCDC134
10857,PGRMC1,819,CAMLG
10857,PGRMC1,90993,CREB3L1
10857,PGRMC1,9391,CIAO1
140689,CBLN4,6733,SRPK2
1468,SLC25A10,125115,KRT40
1468,SLC25A10,3846,KRTAP5-9
1468,SLC25A10,386681,KRTAP10-8
1468,SLC25A10,386682,KRTAP10-3
1468,SLC25A10,388677,NOTCH2NLA
1468,SLC25A10,4188,MDFI
1468,SLC25A10,57786,RBAK
1468,SLC25A10,83755,KRTAP4-12
1468,SLC25A10,85291,KRTAP4-2
147719,LYPD4,3845,KRAS
170482,CLEC4C,3895,KTN1
170482,CLEC4C,4118,MAL
170482,CLEC4C,53842,CLDN22
1774,DNASE1L1,57159,TRIM54
1908,EDN3,1910,EDNRB
2045,EPHA7,10308,ZNF267
2045,EPHA7,150290,DUSP18
2045,EPHA7,1946,EFNA5
2045,EPHA7,1969,EPHA2
2045,EPHA7,2042,EPHA3
2045,EPHA7,2782,GNB1
2045,EPHA7,4301,AFDN
2045,EPHA7,64419,MTMR14
2045,EPHA7,6815,STYX
2045,EPHA7,78986,DUSP26
2045,EPHA7,84557,MAP1LC3A
23621,BACE1,154,ADRB2
23621,BACE1,23062,GGA2
23621,BACE1,23163,GGA3
23621,BACE1,26088,GGA1
23621,BACE1,351,APP
23753,SDF2L1,54557,SGTB
23753,SDF2L1,6449,SGTA
250,ALPP,10026,PIGK
250,ALPP,10287,RGS19
250,ALPP,149018,LELP1
250,ALPP,254910,LCE5A
250,ALPP,2928,GSC2
250,ALPP,3198,HOXA1
250,ALPP,3489,IGFBP6
250,ALPP,353134,LCE1D
250,ALPP,353135,LCE1E
250,ALPP,353137,LCE1F
250,ALPP,353140,LCE2C
250,ALPP,353142,LCE3A
250,ALPP,353143,LCE3B
250,ALPP,353144,LCE3C
250,ALPP,353145,LCE3E
250,ALPP,375791,CYSRT1
250,ALPP,3846,KRTAP5-9
250,ALPP,386681,KRTAP10-8
250,ALPP,386682,KRTAP10-3
250,ALPP,4184,SMCP
250,ALPP,5013,OTX1
250,ALPP,50628,GEMIN4
250,ALPP,54507,ADAMTSL4
250,ALPP,54544,CRCT1
250,ALPP,5458,POU4F2
250,ALPP,55030,FBXO34
250,ALPP,6374,CXCL5
250,ALPP,7051,TGM1
250,ALPP,8013,NR4A3
250,ALPP,81850,KRTAP1-3
250,ALPP,81851,KRTAP1-1
250,ALPP,83755,KRTAP4-12
250,ALPP,84648,LCE3D
250,ALPP,8601,RGS20
